Detector angle	Rate at 25kV	Rate at 30kV	Rate at 35kV
2*theta/°	R(25kV)/Imp/s	R(30kV)/Imp/s	R(35kV)/Imp/s

6.0	2.0	12.0	54.0
6.2	2.0	6.0	29.0
6.4	1.0	3.0	21.0
6.6	1.0	3.0	16.0
6.8	2.0	4.0	13.0
7.0	1.0	4.0	12.0
7.2	2.0	3.0	9.0
7.4	1.0	4.0	8.0
7.6	1.0	2.0	9.0
7.8	1.0	3.0	7.0
8.0	0.0	2.0	8.0
8.2	1.0	2.0	8.0
8.3	1.0	2.0	10.0
8.6	1.0	4.0	6.0
8.8	1.0	2.0	7.0
9.0	1.0	2.0	8.0
9.2	1.0	1.0	6.0
9.3	1.0	3.0	8.0
9.6	0.0	2.0	7.0
9.8	1.0	2.0	6.0
10.0	1.0	1.0	6.0
10.2	1.0	4.0	6.0
10.3	0.0	2.0	6.0
10.6	0.0	2.0	5.0
10.8	1.0	2.0	5.0
11.0	1.0	3.0	4.0
11.2	1.0	4.0	6.0
11.4	2.0	3.0	6.0
11.6	0.0	3.0	6.0
11.8	0.0	4.0	6.0
12.0	1.0	2.0	9.0
12.2	1.0	4.0	13.0
12.4	2.0	2.0	14.0
12.6	1.0	3.0	18.0
12.8	2.0	3.0	25.0
13.0	1.0	3.0	25.0
13.2	1.0	3.0	24.0
13.4	1.0	3.0	26.0
13.6	0.0	4.0	26.0
13.8	0.0	6.0	28.0
14.0	1.0	11.0	28.0
14.2	1.0	11.0	29.0
14.4	2.0	11.0	31.0
14.6	1.0	14.0	27.0
14.8	1.0	13.0	25.0
15.0	1.0	11.0	29.0
15.2	2.0	14.0	28.0
15.4	2.0	12.0	31.0
15.6	2.0	11.0	24.0
15.8	3.0	16.0	23.0
16.0	3.0	13.0	25.0
16.2	4.0	15.0	24.0
16.4	3.0	13.0	24.0
16.6	7.0	15.0	27.0
16.7	7.0	17.0	23.0
17.0	4.0	16.0	25.0
17.2	8.0	18.0	30.0
17.4	7.0	16.0	28.0
17.6	10.0	20.0	26.0
17.7	9.0	20.0	25.0
18.0	9.0	19.0	32.0
18.2	10.0	17.0	32.0
18.4	9.0	18.0	31.0
18.6	8.0	21.0	29.0
18.7	11.0	23.0	26.0
19.0	10.0	24.0	31.0
19.2	16.0	23.0	34.0
19.4	15.0	23.0	36.0
19.6	12.0	29.0	34.0
19.7	16.0	27.0	32.0
20.0	18.0	33.0	42.0
20.2	15.0	28.0	37.0
20.4	17.0	30.0	40.0
20.6	23.0	34.0	39.0
20.7	21.0	30.0	43.0
21.0	19.0	32.0	44.0
21.2	20.0	31.0	46.0
21.4	20.0	38.0	47.0
21.6	21.0	34.0	40.0
21.7	18.0	30.0	43.0
22.0	25.0	32.0	48.0
22.2	24.0	33.0	54.0
22.4	25.0	38.0	51.0
22.6	27.0	38.0	51.0
22.7	28.0	37.0	51.0
23.0	27.0	41.0	54.0
23.2	29.0	37.0	53.0
23.4	29.0	41.0	52.0
23.6	26.0	39.0	55.0
23.8	29.0	42.0	53.0
24.0	29.0	47.0	61.0
24.2	24.0	38.0	61.0
24.4	31.0	42.0	56.0
24.6	27.0	35.0	47.0
24.8	24.0	40.0	51.0
25.0	32.0	40.0	48.0
25.2	30.0	30.0	54.0
25.4	0.0	40.0	54.0
25.6	28.0	40.0	58.0
25.8	31.0	43.0	51.0
26.0	28.0	39.0	53.0
26.2	29.0	40.0	51.0
26.4	26.0	41.0	54.0
26.6	27.0	39.0	49.0
26.8	27.0	41.0	55.0
27.0	30.0	43.0	50.0
27.2	27.0	42.0	45.0
27.4	24.0	34.0	49.0
27.6	25.0	33.0	40.0
27.8	21.0	31.0	40.0
28.0	24.0	31.0	38.0
28.2	22.0	34.0	45.0
28.4	18.0	28.0	33.0
28.6	19.0	27.0	40.0
28.8	18.0	28.0	35.0
29.0	15.0	24.0	34.0
29.2	20.0	23.0	38.0
29.4	17.0	28.0	30.0
29.6	18.0	21.0	34.0
29.8	21.0	27.0	33.0
30.0	19.0	29.0	38.0
30.2	15.0	26.0	37.0
30.4	19.0	31.0	32.0
30.6	16.0	25.0	32.0
30.8	16.0	25.0	35.0
31.0	17.0	26.0	29.0
31.2	18.0	23.0	29.0
31.4	16.0	24.0	30.0
31.6	19.0	19.0	33.0
31.8	19.0	21.0	29.0
32.0	21.0	17.0	26.0
32.2	15.0	21.0	30.0
32.4	19.0	25.0	26.0
32.5	16.0	20.0	28.0
32.8	18.0	21.0	30.0
33.0	17.0	22.0	27.0
33.2	15.0	23.0	26.0
33.4	16.0	21.0	29.0
33.5	16.0	21.0	28.0
33.8	14.0	23.0	23.0
34.0	17.0	20.0	24.0
34.2	12.0	18.0	21.0
34.4	16.0	20.0	26.0
34.5	13.0	17.0	25.0
34.8	13.0	18.0	22.0
35.0	11.0	17.0	20.0
35.2	11.0	18.0	21.0
35.4	14.0	16.0	19.0
35.5	9.0	16.0	23.0
35.8	13.0	18.0	20.0
36.0	9.0	16.0	15.0
36.2	12.0	15.0	20.0
36.4	11.0	15.0	17.0
36.5	11.0	15.0	21.0
36.8	10.0	13.0	19.0
37.0	14.0	16.0	16.0
37.2	13.0	14.0	19.0
37.4	9.0	14.0	17.0
37.5	12.0	16.0	16.0
37.8	11.0	13.0	20.0
38.0	12.0	15.0	18.0
38.2	12.0	12.0	22.0
38.4	11.0	13.0	16.0
38.5	13.0	14.0	16.0
38.8	11.0	13.0	19.0
