Detector angle	Rate at 35kV
2*theta/ 	R(35kV)/Imp/s
	
10	5
11	5
12	5
13	7
14	6
15	8
16	7
17	6
18	4
19	6
20	6
21	4
22	7
23	7
24	7
25	8
26	9
27	7
28	8
29	8
30	9
31	8
32	9
33	11
34	8
35	8
36	7
37	7
38	10
39	6
40	8
41	106
42	11
43	6
44	8
45	34
46	78
47	7
48	6
49	5
50	6
51	5
52	3
53	3
54	3
55	3
56	2
57	3
58	1
59	1
60	2
61	2
62	1
63	2
64	2
65	1
66	2
67	2
68	2
69	2
70	1
71	2
72	1
73	2
74	1
75	0
76	2
77	1
78	1
79	1
80	1
81	1
82	2
83	2
84	1
85	1
86	2
87	2
88	27
89	1
90	1
91	1
92	1
93	2
94	2
95	1
96	1
97	1
98	2
99	2
100	53
101	27
102	2
103	1
104	2
105	1
106	1
107	1
108	2
109	1
110	1
